NHS_Region,22/02/2020,29/02/2020,07/03/2020,14/03/2020,21/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,06/06/2020,13/06/2020,20/06/2020,27/06/2020,04/07/2020,11/07/2020,18/07/2020,25/07/2020,01/08/2020,08/08/2020,15/08/2020,22/08/2020,29/08/2020,05/09/2020,12/09/2020,19/09/2020,26/09/2020,03/10/2020,10/10/2020,17/10/2020,24/10/2020,31/10/2020,07/11/2020
East_of_England,1,3,8,35,210,890,1556,1909,1709,1331,841,774,614,451,361,233,151,130,135,108,82,43,35,22,29,18,24,10,16,20,24,36,36,65,118,172,249,302
London,0,2,17,206,962,2734,3471,3318,2390,1312,833,594,382,213,197,121,87,69,65,47,35,33,31,17,32,13,7,6,16,25,52,63,75,85,102,167,190,250
Midlands,0,0,15,92,450,1576,2618,2959,2591,2016,1525,1236,966,692,558,424,344,296,196,146,93,85,72,45,40,45,23,37,31,56,92,91,130,200,356,509,790,1037
North_East_and_Yorkshire,0,0,0,25,143,879,1743,2341,2315,1930,1506,1301,1009,758,632,412,260,220,159,110,72,75,55,48,49,47,37,30,43,65,98,161,253,390,614,739,1055,1334
North_West,0,0,6,47,217,1013,1998,2701,2292,1691,1228,1047,731,587,455,387,267,223,176,119,91,78,56,63,49,55,62,27,63,90,127,237,325,501,732,956,1145,1213
South_East,0,1,2,63,265,896,1641,2039,2114,1658,1005,1006,698,506,398,284,213,162,132,114,112,77,70,42,45,33,22,32,15,24,28,49,36,59,92,138,206,282
South_West,0,0,1,18,81,381,750,988,989,787,552,392,241,212,162,92,58,35,28,16,18,8,6,3,11,10,11,6,9,14,13,9,16,38,66,104,132,203
