Area,Data_Source,22/02/2020,29/02/2020,07/03/2020,14/03/2020,21/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,06/06/2020,13/06/2020,20/06/2020,27/06/2020,04/07/2020,11/07/2020,18/07/2020,25/07/2020,01/08/2020,08/08/2020,15/08/2020,22/08/2020,29/08/2020,05/09/2020,12/09/2020,19/09/2020,26/09/2020,03/10/2020,10/10/2020,17/10/2020,24/10/2020,31/10/2020,07/11/2020,14/11/2020,21/11/2020,28/11/2020,05/12/2020,12/12/2020,19/12/2020,26/12/2020,02/01/2021,09/01/2021,16/01/2021,23/01/2021,30/01/2021,06/02/2021,13/02/2021
East of England,Deaths,1,3,8,35,211,891,1535,1911,1710,1331,841,775,614,450,352,235,150,131,136,109,83,43,35,22,30,18,25,10,15,20,24,37,36,65,119,173,257,309,322,389,414,496,623,893,1082,1905,2617,2871,2688,2123,1555,1083
London,Deaths,0,2,17,211,962,2687,3475,3319,2391,1313,836,594,377,214,194,121,85,69,65,47,34,32,31,16,32,13,7,5,15,25,52,63,74,86,102,173,194,255,338,390,431,424,546,772,1320,2244,2631,2785,2300,1735,1218,828
Midlands,Deaths,0,0,15,92,450,1577,2621,2958,2593,2013,1525,1236,960,680,558,425,342,296,195,145,96,85,71,44,41,45,23,37,30,57,93,92,129,202,358,514,805,1054,1256,1412,1429,1349,1401,1286,1289,1898,2584,2938,2896,2574,2152,1550
North East and Yorkshire,Deaths,0,0,0,25,143,881,1744,2342,2316,1933,1507,1302,987,759,622,414,264,222,160,110,75,75,55,48,47,48,38,30,43,65,99,163,255,391,620,750,1058,1354,1405,1533,1264,1125,1080,999,1058,1300,1469,1658,1580,1475,1165,944
North West,Deaths,0,0,6,48,218,1014,2000,2687,2293,1696,1225,1045,744,584,459,390,268,223,178,118,90,79,56,63,49,55,62,26,65,89,127,236,328,507,737,969,1156,1234,1226,1073,890,823,792,764,789,1100,1408,1666,1708,1544,1224,949
South East,Deaths,0,1,2,63,266,893,1643,2039,2115,1648,1005,1003,697,494,392,284,213,162,132,115,112,76,70,43,44,33,22,32,15,24,28,50,36,59,92,140,211,290,361,492,525,627,837,1065,1326,2208,2774,3275,2930,2217,1504,949
South West,Deaths,0,0,1,19,81,381,751,989,989,787,552,392,242,203,153,92,58,35,28,16,18,8,6,3,11,10,11,6,9,14,13,9,16,39,66,110,136,203,269,391,386,349,388,347,376,590,849,1197,1355,1076,835,458
